date,ticker,action,shares,price,cost,fixed_fee,slippage,proceeds
2020-01-31,QQQ,buy,0.004624412202342169,108.1218494637568,5e-05,0.0,0.0,
2020-01-31,SPY,buy,0.005023731348080234,99.52761510447205,5e-05,0.0,0.0,
2020-03-31,QQQ,sell,0.0001237748823483733,123.33525809990245,,0.0,0.0,0.015264280480015607
2020-03-31,SPY,buy,0.00014111115452528512,107.47419019950017,1.5165807060721553e-06,0.0,0.0,
2020-04-30,QQQ,buy,6.184436671175311e-05,112.35224651804239,6.948353534551101e-07,0.0,0.0,
2020-04-30,SPY,sell,6.910292066937725e-05,100.59483200749237,,0.0,0.0,0.00695070155629348
2020-06-30,SPY,buy,0.0005483684868458037,88.44823929491739,4.85022271463294e-06,0.0,0.0,
2020-06-30,QQQ,sell,0.00040403649602956376,120.04761351510062,,0.0,0.0,0.048498766759640426
2020-07-31,SPY,sell,1.7055362153924232e-05,81.77450371016333,,0.0,0.0,0.001394554306356683
2020-07-31,QQQ,buy,1.255419482699971e-05,110.32114846019041,1.3849931913075896e-07,0.0,0.0,
2020-08-31,SPY,sell,1.724164456529901e-05,80.91983232687225,,0.0,0.0,0.0013950514681647977
2020-08-31,QQQ,buy,1.2856437087419535e-05,108.49919064526748,1.3949130185668197e-07,0.0,0.0,
2020-09-30,QQQ,sell,1.2770339989112874e-05,120.24983332870147,,0.0,0.0,0.0015354776921161501
2020-09-30,SPY,buy,1.7224798005174673e-05,89.13615383935363,1.5353522448410413e-07,0.0,0.0,
2020-11-30,QQQ,sell,0.00012339259059074466,116.69669056243872,,0.0,0.0,0.01439806701116963
2020-11-30,SPY,buy,0.00017692816683542983,81.38444048261245,1.4399199863515765e-06,0.0,0.0,
2020-12-31,QQQ,sell,4.635595259808601e-05,114.23421430695697,,0.0,0.0,0.005294906279910547
2020-12-31,SPY,buy,6.799027578058888e-05,77.84283696524388,5.29255595281035e-07,0.0,0.0,
